deportes16 (0, 0.9936935244683588)
deportes17 (1, 0.9933882122006721)
deportes18 (2, 0.9930457509124592)
deportes19 (3, 0.9926652295373122)
deportes20 (4, 0.9944797641526201)
deportes21 (5, 0.993517864373937)
deportes22 (6, 0.9941958785017638)
deportes23 (7, 0.9948487560675766)
deportes24 (8, 0.9928891272369473)
deportes25 (9, 0.9928020440858122)
deportes26 (10, 0.9940977837810154)
deportes27 (11, 0.992045677896276)
deportes28 (12, 0.992337941314537)
deportes29 (13, 0.9941683127123042)
politica16 (14, 0.9945149688466162)
politica17 (15, 0.9931819566949686)
politica18 (16, 0.9924695512330808)
politica19 (17, 0.9909824071190543)
politica20 (18, 0.9955440741234586)
politica21 (19, 0.9914276613484059)
politica22 (20, 0.9952461479599377)
politica23 (21, 0.9936942370828004)
politica24 (22, 0.9946860635473466)
politica25 (23, 0.9909688128093239)
politica26 (24, 0.9936677573266227)
politica27 (25, 0.9931278166075375)
politica28 (26, 0.991909196201303)
politica29 (27, 0.9931422933405067)
salud16 (28, 0.9916935792071593)
salud17 (29, 0.996350496579196)
salud18 (30, 0.9935995082209526)
salud19 (31, 0.9942580750015577)
salud20 (32, 0.9955979684313115)
salud21 (33, 0.9933343330371159)
salud22 (34, 0.9936317640831244)
salud23 (35, 0.9950853030937943)
salud24 (36, 0.9948309537139586)
salud25 (37, 0.9941851036587042)
salud26 (38, 0.9940335274040698)
salud27 (39, 0.9922306848051449)
salud28 (40, 0.9945194701994787)
salud29 (41, 0.9939954323495601)
