deportes16 (0, 0.9935377249126907)
deportes17 (1, 0.9912141919901729)
deportes18 (2, 0.992453280001692)
deportes19 (3, 0.9926929789468361)
deportes20 (4, 0.992907662434896)
deportes21 (5, 0.993023033837617)
deportes22 (6, 0.9915347054740522)
deportes23 (7, 0.9928616151950755)
deportes24 (8, 0.9924274539983338)
deportes25 (9, 0.9917547307024167)
deportes26 (10, 0.9924031864717839)
deportes27 (11, 0.9932746690042786)
deportes28 (12, 0.9930968665229087)
deportes29 (13, 0.991262218089551)
politica16 (14, 0.9901990116964042)
politica17 (15, 0.9922393784964008)
politica18 (16, 0.9928962647247432)
politica19 (17, 0.9922665729385152)
politica20 (18, 0.992724571943447)
politica21 (19, 0.9942521927789356)
politica22 (20, 0.9922481587425972)
politica23 (21, 0.9921399728627621)
politica24 (22, 0.9923928099282161)
politica25 (23, 0.99207379814904)
politica26 (24, 0.9931253971592552)
politica27 (25, 0.9914591904284669)
politica28 (26, 0.9921194978704315)
politica29 (27, 0.9922203801064827)
salud16 (28, 0.9909496383713943)
salud17 (29, 0.9913196332416218)
salud18 (30, 0.9922155392839176)
salud19 (31, 0.9930029799981575)
salud20 (32, 0.9919877918650433)
salud21 (33, 0.9925215518515567)
salud22 (34, 0.9933024779375619)
salud23 (35, 0.9934319013109255)
salud24 (36, 0.9924663896974797)
salud25 (37, 0.9918008897945267)
salud26 (38, 0.9925989822164192)
salud27 (39, 0.9921030753801345)
salud28 (40, 0.9930840870572701)
salud29 (41, 0.9914761942846072)
