deportes16 (0, 0.9865150551511783)
deportes17 (1, 0.9639285036404697)
deportes18 (2, 0.9686670721798017)
deportes19 (3, 0.9651559277099451)
deportes20 (4, 0.9845244236382769)
deportes21 (5, 0.9638417592302906)
deportes22 (6, 0.988475533441328)
deportes23 (7, 0.9776281470089027)
deportes24 (8, 0.9885078490153185)
deportes25 (9, 0.9676267269762214)
deportes26 (10, 0.983818088673248)
deportes27 (11, 0.9882267875471415)
deportes28 (12, 0.9808326233864187)
deportes29 (13, 0.9845236916326532)
politica16 (14, 0.9879155652615899)
politica17 (15, 0.9858503411220361)
politica18 (16, 0.9732282188286008)
politica19 (17, 0.9782037313740075)
politica20 (18, 0.9870661631366741)
politica21 (19, 0.9754359633977238)
politica22 (20, 0.9835585671001998)
politica23 (21, 0.9861936488277382)
politica24 (22, 0.9856103596950657)
politica25 (23, 0.9864403624738362)
politica26 (24, 0.9825991683382213)
politica27 (25, 0.9623725582584441)
politica28 (26, 0.9876064166428016)
politica29 (27, 0.9778113613393784)
salud16 (28, 0.9867280622209965)
salud17 (29, 0.9837695287441565)
salud18 (30, 0.9768121671347769)
salud19 (31, 0.9783833075776178)
salud20 (32, 0.9831044986317333)
salud21 (33, 0.9684958860371116)
salud22 (34, 0.9823606069652812)
salud23 (35, 0.9854734207429351)
salud24 (36, 0.9844548381113868)
salud25 (37, 0.9871372874695847)
salud26 (38, 0.988116186009923)
salud27 (39, 0.9853122577440891)
salud28 (40, 0.9699116084579471)
salud29 (41, 0.9851733922911257)
